Date,Subscription status,Views,source
2025-04-21,Not subscribed,4,Subscription Status_Ai-talks-CA
2025-04-22,Not subscribed,1,Subscription Status_Ai-talks-CA
2025-04-23,Not subscribed,2,Subscription Status_Ai-talks-CA
2025-04-24,Not subscribed,3,Subscription Status_Ai-talks-CA
2025-04-25,Not subscribed,0,Subscription Status_Ai-talks-CA
2025-04-26,Not subscribed,0,Subscription Status_Ai-talks-CA
2025-04-27,Not subscribed,1,Subscription Status_Ai-talks-CA
2025-04-28,Not subscribed,2,Subscription Status_Ai-talks-CA
2025-04-29,Not subscribed,1,Subscription Status_Ai-talks-CA
2025-04-30,Not subscribed,10,Subscription Status_Ai-talks-CA
2025-05-01,Not subscribed,6,Subscription Status_Ai-talks-CA
2025-05-02,Not subscribed,4,Subscription Status_Ai-talks-CA
2025-05-03,Not subscribed,4,Subscription Status_Ai-talks-CA
2025-05-04,Not subscribed,1,Subscription Status_Ai-talks-CA
2025-05-05,Not subscribed,2,Subscription Status_Ai-talks-CA
2025-05-06,Not subscribed,8,Subscription Status_Ai-talks-CA
2025-05-07,Not subscribed,1,Subscription Status_Ai-talks-CA
2025-05-08,Not subscribed,1,Subscription Status_Ai-talks-CA
2025-05-09,Not subscribed,3,Subscription Status_Ai-talks-CA
2025-05-10,Not subscribed,1,Subscription Status_Ai-talks-CA
2025-05-11,Not subscribed,0,Subscription Status_Ai-talks-CA
2025-05-12,Not subscribed,5,Subscription Status_Ai-talks-CA
2025-05-13,Not subscribed,1,Subscription Status_Ai-talks-CA
2025-05-14,Not subscribed,3,Subscription Status_Ai-talks-CA
2025-05-15,Not subscribed,4,Subscription Status_Ai-talks-CA
2025-05-16,Not subscribed,4,Subscription Status_Ai-talks-CA
2025-05-17,Not subscribed,1,Subscription Status_Ai-talks-CA
2025-05-18,Not subscribed,1,Subscription Status_Ai-talks-CA
2025-05-19,Not subscribed,2,Subscription Status_Ai-talks-CA
2025-05-20,Not subscribed,0,Subscription Status_Ai-talks-CA
2025-05-21,Not subscribed,0,Subscription Status_Ai-talks-CA
2025-05-22,Not subscribed,0,Subscription Status_Ai-talks-CA
2025-05-23,Not subscribed,1,Subscription Status_Ai-talks-CA
2025-05-24,Not subscribed,0,Subscription Status_Ai-talks-CA
2025-05-25,Not subscribed,1,Subscription Status_Ai-talks-CA
2025-05-26,Not subscribed,2,Subscription Status_Ai-talks-CA
2025-05-27,Not subscribed,0,Subscription Status_Ai-talks-CA
2025-05-28,Not subscribed,0,Subscription Status_Ai-talks-CA
2025-05-29,Not subscribed,2,Subscription Status_Ai-talks-CA
2025-05-30,Not subscribed,0,Subscription Status_Ai-talks-CA
2025-05-31,Not subscribed,0,Subscription Status_Ai-talks-CA
2025-06-01,Not subscribed,0,Subscription Status_Ai-talks-CA
2025-06-02,Not subscribed,0,Subscription Status_Ai-talks-CA
2025-06-03,Not subscribed,6,Subscription Status_Ai-talks-CA
2025-06-04,Not subscribed,1,Subscription Status_Ai-talks-CA
2025-06-05,Not subscribed,1,Subscription Status_Ai-talks-CA
2025-06-06,Not subscribed,0,Subscription Status_Ai-talks-CA
2025-06-07,Not subscribed,1,Subscription Status_Ai-talks-CA
2025-06-08,Not subscribed,4,Subscription Status_Ai-talks-CA
2025-06-09,Not subscribed,6,Subscription Status_Ai-talks-CA
2025-06-10,Not subscribed,0,Subscription Status_Ai-talks-CA
2025-06-11,Not subscribed,0,Subscription Status_Ai-talks-CA
2025-06-12,Not subscribed,0,Subscription Status_Ai-talks-CA
2025-06-13,Not subscribed,1,Subscription Status_Ai-talks-CA
2025-06-14,Not subscribed,2,Subscription Status_Ai-talks-CA
2025-06-15,Not subscribed,2,Subscription Status_Ai-talks-CA
2025-06-16,Not subscribed,0,Subscription Status_Ai-talks-CA
2025-06-17,Not subscribed,0,Subscription Status_Ai-talks-CA
2025-06-18,Not subscribed,0,Subscription Status_Ai-talks-CA
2025-06-19,Not subscribed,0,Subscription Status_Ai-talks-CA
2025-06-20,Not subscribed,0,Subscription Status_Ai-talks-CA
2025-06-21,Not subscribed,0,Subscription Status_Ai-talks-CA
2025-06-22,Not subscribed,1,Subscription Status_Ai-talks-CA
2025-06-23,Not subscribed,0,Subscription Status_Ai-talks-CA
2025-06-24,Not subscribed,0,Subscription Status_Ai-talks-CA
2025-06-25,Not subscribed,0,Subscription Status_Ai-talks-CA
2025-06-26,Not subscribed,0,Subscription Status_Ai-talks-CA
2025-06-27,Not subscribed,0,Subscription Status_Ai-talks-CA
2025-06-28,Not subscribed,0,Subscription Status_Ai-talks-CA
2025-06-29,Not subscribed,0,Subscription Status_Ai-talks-CA
2025-06-30,Not subscribed,0,Subscription Status_Ai-talks-CA
2025-07-01,Not subscribed,0,Subscription Status_Ai-talks-CA
2025-07-02,Not subscribed,2,Subscription Status_Ai-talks-CA
2025-07-03,Not subscribed,0,Subscription Status_Ai-talks-CA
2025-07-04,Not subscribed,0,Subscription Status_Ai-talks-CA
2025-07-05,Not subscribed,0,Subscription Status_Ai-talks-CA
2025-07-06,Not subscribed,0,Subscription Status_Ai-talks-CA
2025-07-07,Not subscribed,0,Subscription Status_Ai-talks-CA
2025-07-08,Not subscribed,0,Subscription Status_Ai-talks-CA
2025-07-09,Not subscribed,1,Subscription Status_Ai-talks-CA
2025-07-10,Not subscribed,4,Subscription Status_Ai-talks-CA
2025-07-11,Not subscribed,3,Subscription Status_Ai-talks-CA
2025-07-12,Not subscribed,1,Subscription Status_Ai-talks-CA
2025-07-13,Not subscribed,3,Subscription Status_Ai-talks-CA
2025-07-14,Not subscribed,0,Subscription Status_Ai-talks-CA
2025-07-15,Not subscribed,1,Subscription Status_Ai-talks-CA
2025-07-16,Not subscribed,1,Subscription Status_Ai-talks-CA
2025-07-17,Not subscribed,0,Subscription Status_Ai-talks-CA
2025-07-18,Not subscribed,0,Subscription Status_Ai-talks-CA
2025-07-19,Not subscribed,2,Subscription Status_Ai-talks-CA
2025-07-20,Not subscribed,0,Subscription Status_Ai-talks-CA
